"Account_Domain","Account_Name","Authentication_Package","Client_Address","Client_Port",ComputerName,"Elevated_Token",EventCode,EventType,"Failure_Code","Impersonation_Level","Key_Length",Keywords,"Linked_Logon_ID",LogName,"Logon_GUID","Logon_ID","Logon_Process","Logon_Type",Message,"Network_Account_Domain","Network_Account_Name",OpCode,"Package_Name__NTLM_only_","Process_ID","Process_Name",RecordNumber,"Restricted_Admin_Mode","Security_ID","Service_ID","Service_Name",SourceName,"Source_Network_Address","Source_Port",TaskCategory,"Ticket_Encryption_Type","Ticket_Options","Transited_Services",Type,"Virtual_Account","Workstation_Name","_raw","_time",eventtype,host,index,linecount,punct,source,sourcetype,"splunk_server","splunk_server_group"
"LAB.LOCAL","Administrator@LAB.LOCAL",,"::1",0,"DC01.lab.local",,4769,0,0x0,,,"Audit Success",,Security,"{6572b5e3-8bc7-2aa4-5825-931e773fc923}",,,,"A Kerberos service ticket was requested.

Account Information:
	Account Name:		Administrator@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{6572b5e3-8bc7-2aa4-5825-931e773fc923}

Service Information:
	Service Name:		DC01$
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-1000

Network Information:
	Client Address:		::1
	Client Port:		0

Additional Information:
	Ticket Options:		0x40810000
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.",,,Info,,,,21151,,,"S-1-5-21-3968859575-1936118435-1223628149-1000","DC01$","Microsoft Windows security auditing.",,,"Kerberos Service Ticket Operations",0x12,0x40810000,"-",Information,,,"08/07/2025 06:23:12 AM
LogName=Security
EventCode=4769
EventType=0
ComputerName=DC01.lab.local
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=21151
Keywords=Audit Success
TaskCategory=Kerberos Service Ticket Operations
OpCode=Info
Message=A Kerberos service ticket was requested.

Account Information:
	Account Name:		Administrator@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{6572b5e3-8bc7-2aa4-5825-931e773fc923}

Service Information:
	Service Name:		DC01$
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-1000

Network Information:
	Client Address:		::1
	Client Port:		0

Additional Information:
	Ticket Options:		0x40810000
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.","2025-08-07T14:23:12.000+0100",,DC01,main,37,"//_::_====..=___.===_=___==_____.\r\r_:\rt_:tt@.\rt_:t","WinEventLog:Security","WinEventLog:Security",Windows10,
"LAB.LOCAL","User1@LAB.LOCAL",,"::ffff:10.0.3.15",49723,"DC01.lab.local",,4769,0,0x0,,,"Audit Success",,Security,"{b8435654-64ef-2ce9-eea3-6bc78286e5a6}",,,,"A Kerberos service ticket was requested.

Account Information:
	Account Name:		User1@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{b8435654-64ef-2ce9-eea3-6bc78286e5a6}

Service Information:
	Service Name:		DC01$
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-1000

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49723

Additional Information:
	Ticket Options:		0x40800000
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.",,,Info,,,,20914,,,"S-1-5-21-3968859575-1936118435-1223628149-1000","DC01$","Microsoft Windows security auditing.",,,"Kerberos Service Ticket Operations",0x12,0x40800000,"-",Information,,,"08/07/2025 05:55:01 AM
LogName=Security
EventCode=4769
EventType=0
ComputerName=DC01.lab.local
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=20914
Keywords=Audit Success
TaskCategory=Kerberos Service Ticket Operations
OpCode=Info
Message=A Kerberos service ticket was requested.

Account Information:
	Account Name:		User1@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{b8435654-64ef-2ce9-eea3-6bc78286e5a6}

Service Information:
	Service Name:		DC01$
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-1000

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49723

Additional Information:
	Ticket Options:		0x40800000
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.","2025-08-07T13:55:01.000+0100",,DC01,main,37,"//_::_====..=___.===_=___==_____.\r\r_:\rt_:tt@.\rt_:t","WinEventLog:Security","WinEventLog:Security",Windows10,
"LAB.LOCAL","User1@LAB.LOCAL",,"::ffff:10.0.3.15",49717,"DC01.lab.local",,4769,0,0x0,,,"Audit Success",,Security,"{ce8c7ab4-ab18-8805-84c2-6c2189b2c727}",,,,"A Kerberos service ticket was requested.

Account Information:
	Account Name:		User1@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{ce8c7ab4-ab18-8805-84c2-6c2189b2c727}

Service Information:
	Service Name:		WINDOWS10$
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-1110

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49717

Additional Information:
	Ticket Options:		0x40810000
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.",,,Info,,,,20908,,,"S-1-5-21-3968859575-1936118435-1223628149-1110","WINDOWS10$","Microsoft Windows security auditing.",,,"Kerberos Service Ticket Operations",0x12,0x40810000,"-",Information,,,"08/07/2025 05:54:41 AM
LogName=Security
EventCode=4769
EventType=0
ComputerName=DC01.lab.local
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=20908
Keywords=Audit Success
TaskCategory=Kerberos Service Ticket Operations
OpCode=Info
Message=A Kerberos service ticket was requested.

Account Information:
	Account Name:		User1@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{ce8c7ab4-ab18-8805-84c2-6c2189b2c727}

Service Information:
	Service Name:		WINDOWS10$
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-1110

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49717

Additional Information:
	Ticket Options:		0x40810000
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.","2025-08-07T13:54:41.000+0100",,DC01,main,37,"//_::_====..=___.===_=___==_____.\r\r_:\rt_:tt@.\rt_:t","WinEventLog:Security","WinEventLog:Security",Windows10,
"LAB.LOCAL","WINDOWS10$@LAB.LOCAL",,"::ffff:10.0.3.15",49712,"DC01.lab.local",,4769,0,0x0,,,"Audit Success",,Security,"{3b94bd9b-3610-4e7f-89a6-e51085f75ce5}",,,,"A Kerberos service ticket was requested.

Account Information:
	Account Name:		WINDOWS10$@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{3b94bd9b-3610-4e7f-89a6-e51085f75ce5}

Service Information:
	Service Name:		WINDOWS10$
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-1110

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49712

Additional Information:
	Ticket Options:		0x40810000
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.",,,Info,,,,20903,,,"S-1-5-21-3968859575-1936118435-1223628149-1110","WINDOWS10$","Microsoft Windows security auditing.",,,"Kerberos Service Ticket Operations",0x12,0x40810000,"-",Information,,,"08/07/2025 05:54:26 AM
LogName=Security
EventCode=4769
EventType=0
ComputerName=DC01.lab.local
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=20903
Keywords=Audit Success
TaskCategory=Kerberos Service Ticket Operations
OpCode=Info
Message=A Kerberos service ticket was requested.

Account Information:
	Account Name:		WINDOWS10$@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{3b94bd9b-3610-4e7f-89a6-e51085f75ce5}

Service Information:
	Service Name:		WINDOWS10$
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-1110

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49712

Additional Information:
	Ticket Options:		0x40810000
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.","2025-08-07T13:54:26.000+0100",,DC01,main,37,"//_::_====..=___.===_=___==_____.\r\r_:\rt_:tt$@.\rt_:","WinEventLog:Security","WinEventLog:Security",Windows10,
"LAB.LOCAL","WINDOWS10$@LAB.LOCAL",,"::ffff:10.0.3.15",49705,"DC01.lab.local",,4769,0,0x0,,,"Audit Success",,Security,"{0da9a939-f1b4-c39e-2314-ef972359cf75}",,,,"A Kerberos service ticket was requested.

Account Information:
	Account Name:		WINDOWS10$@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{0da9a939-f1b4-c39e-2314-ef972359cf75}

Service Information:
	Service Name:		krbtgt
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-502

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49705

Additional Information:
	Ticket Options:		0x60810010
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.",,,Info,,,,20890,,,"S-1-5-21-3968859575-1936118435-1223628149-502",krbtgt,"Microsoft Windows security auditing.",,,"Kerberos Service Ticket Operations",0x12,0x60810010,"-",Information,,,"08/07/2025 05:53:56 AM
LogName=Security
EventCode=4769
EventType=0
ComputerName=DC01.lab.local
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=20890
Keywords=Audit Success
TaskCategory=Kerberos Service Ticket Operations
OpCode=Info
Message=A Kerberos service ticket was requested.

Account Information:
	Account Name:		WINDOWS10$@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{0da9a939-f1b4-c39e-2314-ef972359cf75}

Service Information:
	Service Name:		krbtgt
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-502

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49705

Additional Information:
	Ticket Options:		0x60810010
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.","2025-08-07T13:53:56.000+0100",,DC01,main,37,"//_::_====..=___.===_=___==_____.\r\r_:\rt_:tt$@.\rt_:","WinEventLog:Security","WinEventLog:Security",Windows10,
"LAB.LOCAL","WINDOWS10$@LAB.LOCAL",,"::ffff:10.0.3.15",49704,"DC01.lab.local",,4769,0,0x0,,,"Audit Success",,Security,"{0da9a939-f1b4-c39e-2314-ef972359cf75}",,,,"A Kerberos service ticket was requested.

Account Information:
	Account Name:		WINDOWS10$@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{0da9a939-f1b4-c39e-2314-ef972359cf75}

Service Information:
	Service Name:		DC01$
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-1000

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49704

Additional Information:
	Ticket Options:		0x40800000
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.",,,Info,,,,20889,,,"S-1-5-21-3968859575-1936118435-1223628149-1000","DC01$","Microsoft Windows security auditing.",,,"Kerberos Service Ticket Operations",0x12,0x40800000,"-",Information,,,"08/07/2025 05:53:56 AM
LogName=Security
EventCode=4769
EventType=0
ComputerName=DC01.lab.local
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=20889
Keywords=Audit Success
TaskCategory=Kerberos Service Ticket Operations
OpCode=Info
Message=A Kerberos service ticket was requested.

Account Information:
	Account Name:		WINDOWS10$@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{0da9a939-f1b4-c39e-2314-ef972359cf75}

Service Information:
	Service Name:		DC01$
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-1000

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49704

Additional Information:
	Ticket Options:		0x40800000
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.","2025-08-07T13:53:56.000+0100",,DC01,main,37,"//_::_====..=___.===_=___==_____.\r\r_:\rt_:tt$@.\rt_:","WinEventLog:Security","WinEventLog:Security",Windows10,
"LAB.LOCAL","WINDOWS10$@LAB.LOCAL",,"::ffff:10.0.3.15",49701,"DC01.lab.local",,4769,0,0x0,,,"Audit Success",,Security,"{e761ee99-1120-46f9-e02e-b413e87c3c6c}",,,,"A Kerberos service ticket was requested.

Account Information:
	Account Name:		WINDOWS10$@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{e761ee99-1120-46f9-e02e-b413e87c3c6c}

Service Information:
	Service Name:		WINDOWS10$
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-1110

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49701

Additional Information:
	Ticket Options:		0x40810000
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.",,,Info,,,,20887,,,"S-1-5-21-3968859575-1936118435-1223628149-1110","WINDOWS10$","Microsoft Windows security auditing.",,,"Kerberos Service Ticket Operations",0x12,0x40810000,"-",Information,,,"08/07/2025 05:53:55 AM
LogName=Security
EventCode=4769
EventType=0
ComputerName=DC01.lab.local
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=20887
Keywords=Audit Success
TaskCategory=Kerberos Service Ticket Operations
OpCode=Info
Message=A Kerberos service ticket was requested.

Account Information:
	Account Name:		WINDOWS10$@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{e761ee99-1120-46f9-e02e-b413e87c3c6c}

Service Information:
	Service Name:		WINDOWS10$
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-1110

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49701

Additional Information:
	Ticket Options:		0x40810000
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.","2025-08-07T13:53:55.000+0100",,DC01,main,37,"//_::_====..=___.===_=___==_____.\r\r_:\rt_:tt$@.\rt_:","WinEventLog:Security","WinEventLog:Security",Windows10,
"LAB.LOCAL","WINDOWS10$@LAB.LOCAL",,"::ffff:10.0.3.15",49687,"DC01.lab.local",,4769,0,0x0,,,"Audit Success",,Security,"{0735387b-179d-ae41-7cf4-ad72f4d0f391}",,,,"A Kerberos service ticket was requested.

Account Information:
	Account Name:		WINDOWS10$@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{0735387b-179d-ae41-7cf4-ad72f4d0f391}

Service Information:
	Service Name:		DC01$
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-1000

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49687

Additional Information:
	Ticket Options:		0x40800000
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.",,,Info,,,,20881,,,"S-1-5-21-3968859575-1936118435-1223628149-1000","DC01$","Microsoft Windows security auditing.",,,"Kerberos Service Ticket Operations",0x12,0x40800000,"-",Information,,,"08/07/2025 05:53:44 AM
LogName=Security
EventCode=4769
EventType=0
ComputerName=DC01.lab.local
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=20881
Keywords=Audit Success
TaskCategory=Kerberos Service Ticket Operations
OpCode=Info
Message=A Kerberos service ticket was requested.

Account Information:
	Account Name:		WINDOWS10$@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{0735387b-179d-ae41-7cf4-ad72f4d0f391}

Service Information:
	Service Name:		DC01$
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-1000

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49687

Additional Information:
	Ticket Options:		0x40800000
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.","2025-08-07T13:53:44.000+0100",,DC01,main,37,"//_::_====..=___.===_=___==_____.\r\r_:\rt_:tt$@.\rt_:","WinEventLog:Security","WinEventLog:Security",Windows10,
"LAB.LOCAL","WINDOWS10$@LAB.LOCAL",,"::ffff:10.0.3.15",49679,"DC01.lab.local",,4769,0,0x0,,,"Audit Success",,Security,"{7ce57409-cbf6-3134-9e41-28c9f255cc3e}",,,,"A Kerberos service ticket was requested.

Account Information:
	Account Name:		WINDOWS10$@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{7ce57409-cbf6-3134-9e41-28c9f255cc3e}

Service Information:
	Service Name:		krbtgt
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-502

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49679

Additional Information:
	Ticket Options:		0x60810010
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.",,,Info,,,,20877,,,"S-1-5-21-3968859575-1936118435-1223628149-502",krbtgt,"Microsoft Windows security auditing.",,,"Kerberos Service Ticket Operations",0x12,0x60810010,"-",Information,,,"08/07/2025 05:53:41 AM
LogName=Security
EventCode=4769
EventType=0
ComputerName=DC01.lab.local
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=20877
Keywords=Audit Success
TaskCategory=Kerberos Service Ticket Operations
OpCode=Info
Message=A Kerberos service ticket was requested.

Account Information:
	Account Name:		WINDOWS10$@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{7ce57409-cbf6-3134-9e41-28c9f255cc3e}

Service Information:
	Service Name:		krbtgt
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-502

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49679

Additional Information:
	Ticket Options:		0x60810010
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.","2025-08-07T13:53:41.000+0100",,DC01,main,37,"//_::_====..=___.===_=___==_____.\r\r_:\rt_:tt$@.\rt_:","WinEventLog:Security","WinEventLog:Security",Windows10,
"LAB.LOCAL","WINDOWS10$@LAB.LOCAL",,"::ffff:10.0.3.15",49678,"DC01.lab.local",,4769,0,0x0,,,"Audit Success",,Security,"{7ce57409-cbf6-3134-9e41-28c9f255cc3e}",,,,"A Kerberos service ticket was requested.

Account Information:
	Account Name:		WINDOWS10$@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{7ce57409-cbf6-3134-9e41-28c9f255cc3e}

Service Information:
	Service Name:		DC01$
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-1000

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49678

Additional Information:
	Ticket Options:		0x40810000
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.",,,Info,,,,20876,,,"S-1-5-21-3968859575-1936118435-1223628149-1000","DC01$","Microsoft Windows security auditing.",,,"Kerberos Service Ticket Operations",0x12,0x40810000,"-",Information,,,"08/07/2025 05:53:41 AM
LogName=Security
EventCode=4769
EventType=0
ComputerName=DC01.lab.local
SourceName=Microsoft Windows security auditing.
Type=Information
RecordNumber=20876
Keywords=Audit Success
TaskCategory=Kerberos Service Ticket Operations
OpCode=Info
Message=A Kerberos service ticket was requested.

Account Information:
	Account Name:		WINDOWS10$@LAB.LOCAL
	Account Domain:		LAB.LOCAL
	Logon GUID:		{7ce57409-cbf6-3134-9e41-28c9f255cc3e}

Service Information:
	Service Name:		DC01$
	Service ID:		S-1-5-21-3968859575-1936118435-1223628149-1000

Network Information:
	Client Address:		::ffff:10.0.3.15
	Client Port:		49678

Additional Information:
	Ticket Options:		0x40810000
	Ticket Encryption Type:	0x12
	Failure Code:		0x0
	Transited Services:	-

This event is generated every time access is requested to a resource such as a computer or a Windows service.  The service name indicates the resource to which access was requested.

This event can be correlated with Windows logon events by comparing the Logon GUID fields in each event.  The logon event occurs on the machine that was accessed, which is often a different machine than the domain controller which issued the service ticket.

Ticket options, encryption types, and failure codes are defined in RFC 4120.","2025-08-07T13:53:41.000+0100",,DC01,main,37,"//_::_====..=___.===_=___==_____.\r\r_:\rt_:tt$@.\rt_:","WinEventLog:Security","WinEventLog:Security",Windows10,
